name,version,packagePath,dependencyType,scope,licenseSource,hasLicense,licenseIsComplex,needsManualReview,issues,licenseRaw
@asamuzakjp/css-color,3.2.0,node_modules/@asamuzakjp/css-color,direct,dev,license,true,false,false,,MIT
@babel/code-frame,7.29.7,node_modules/@babel/code-frame,direct,dev,license,true,false,false,,MIT
@babel/compat-data,7.29.7,node_modules/@babel/compat-data,direct,dev,license,true,false,false,,MIT
@babel/core,7.29.7,node_modules/@babel/core,direct,dev,license,true,false,false,,MIT
@babel/generator,7.29.7,node_modules/@babel/generator,direct,dev,license,true,false,false,,MIT
@babel/helper-compilation-targets,7.29.7,node_modules/@babel/helper-compilation-targets,direct,dev,license,true,false,false,,MIT
@babel/helper-globals,7.29.7,node_modules/@babel/helper-globals,direct,dev,license,true,false,false,,MIT
@babel/helper-module-imports,7.29.7,node_modules/@babel/helper-module-imports,direct,dev,license,true,false,false,,MIT
@babel/helper-module-transforms,7.29.7,node_modules/@babel/helper-module-transforms,direct,dev,license,true,false,false,,MIT
@babel/helper-plugin-utils,7.29.7,node_modules/@babel/helper-plugin-utils,direct,dev,license,true,false,false,,MIT
@babel/helper-string-parser,7.29.7,node_modules/@babel/helper-string-parser,direct,dev,license,true,false,false,,MIT
@babel/helper-validator-identifier,7.29.7,node_modules/@babel/helper-validator-identifier,direct,dev,license,true,false,false,,MIT
@babel/helper-validator-option,7.29.7,node_modules/@babel/helper-validator-option,direct,dev,license,true,false,false,,MIT
@babel/helpers,7.29.7,node_modules/@babel/helpers,direct,dev,license,true,false,false,,MIT
@babel/parser,7.29.7,node_modules/@babel/parser,direct,dev,license,true,false,false,,MIT
@babel/plugin-transform-react-jsx-self,7.29.7,node_modules/@babel/plugin-transform-react-jsx-self,direct,dev,license,true,false,false,,MIT
@babel/plugin-transform-react-jsx-source,7.29.7,node_modules/@babel/plugin-transform-react-jsx-source,direct,dev,license,true,false,false,,MIT
@babel/template,7.29.7,node_modules/@babel/template,direct,dev,license,true,false,false,,MIT
@babel/traverse,7.29.7,node_modules/@babel/traverse,direct,dev,license,true,false,false,,MIT
@babel/types,7.29.7,node_modules/@babel/types,direct,dev,license,true,false,false,,MIT
@csstools/color-helpers,5.1.0,node_modules/@csstools/color-helpers,direct,dev,license,true,false,false,,MIT-0
@csstools/css-calc,2.1.4,node_modules/@csstools/css-calc,direct,dev,license,true,false,false,,MIT
@csstools/css-color-parser,3.1.0,node_modules/@csstools/css-color-parser,direct,dev,license,true,false,false,,MIT
@csstools/css-parser-algorithms,3.0.5,node_modules/@csstools/css-parser-algorithms,direct,dev,license,true,false,false,,MIT
@csstools/css-tokenizer,3.0.4,node_modules/@csstools/css-tokenizer,direct,dev,license,true,false,false,,MIT
@deno/darwin-arm64,2.9.4,node_modules/@deno/darwin-arm64,direct,dev,license,true,false,false,,MIT
@deno/darwin-x64,2.9.4,node_modules/@deno/darwin-x64,direct,dev,license,true,false,false,,MIT
@deno/linux-arm64-glibc,2.9.4,node_modules/@deno/linux-arm64-glibc,direct,dev,license,true,false,false,,MIT
@deno/linux-x64-glibc,2.9.4,node_modules/@deno/linux-x64-glibc,direct,dev,license,true,false,false,,MIT
@deno/win32-arm64,2.9.4,node_modules/@deno/win32-arm64,direct,dev,license,true,false,false,,MIT
@deno/win32-x64,2.9.4,node_modules/@deno/win32-x64,direct,dev,license,true,false,false,,MIT
@ecies/ciphers,0.2.6,node_modules/@ecies/ciphers,direct,dev,license,true,false,false,,MIT
@esbuild/aix-ppc64,0.25.12,node_modules/@esbuild/aix-ppc64,direct,dev,license,true,false,false,,MIT
@esbuild/android-arm,0.25.12,node_modules/@esbuild/android-arm,direct,dev,license,true,false,false,,MIT
@esbuild/android-arm64,0.25.12,node_modules/@esbuild/android-arm64,direct,dev,license,true,false,false,,MIT
@esbuild/android-x64,0.25.12,node_modules/@esbuild/android-x64,direct,dev,license,true,false,false,,MIT
@esbuild/darwin-arm64,0.25.12,node_modules/@esbuild/darwin-arm64,direct,dev,license,true,false,false,,MIT
@esbuild/darwin-x64,0.25.12,node_modules/@esbuild/darwin-x64,direct,dev,license,true,false,false,,MIT
@esbuild/freebsd-arm64,0.25.12,node_modules/@esbuild/freebsd-arm64,direct,dev,license,true,false,false,,MIT
@esbuild/freebsd-x64,0.25.12,node_modules/@esbuild/freebsd-x64,direct,dev,license,true,false,false,,MIT
@esbuild/linux-arm,0.25.12,node_modules/@esbuild/linux-arm,direct,dev,license,true,false,false,,MIT
@esbuild/linux-arm64,0.25.12,node_modules/@esbuild/linux-arm64,direct,dev,license,true,false,false,,MIT
@esbuild/linux-ia32,0.25.12,node_modules/@esbuild/linux-ia32,direct,dev,license,true,false,false,,MIT
@esbuild/linux-loong64,0.25.12,node_modules/@esbuild/linux-loong64,direct,dev,license,true,false,false,,MIT
